OBJECTID,Damage,Street_Number,Street_Name,Street_Type,City,Zip_Code,CAL_FIRE_Unit,County,Community,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure,Assessed_Improved_Value,Year_Built,Site_Address,Latitude,Longitude,Year_Built_Known
12806,No Damage,3785.0,Silverado ,Trail,Calistoga,94515,LNU,Napa,Unknown,2020-09-27 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,55936.0,1965,3785 SILVERADO TRL CALISTOGA CA 94515,38.5560287765027,-122.505290837389,1
28968,Destroyed (>50%),1032.0,Maple Park,Drive,Paradise,95969,BTU,Butte,Paradise ,2018-11-08 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unenclosed,Unscreened,Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,150830.0,1974,1032  MAPLE PARK DR   PARADISE CA 95969,39.7628903067937,-121.609949338881,1
118827,Destroyed (>50%),3707.0,El Sereno,Avenue,Altadena,91001,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unknown,No Vents,Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,62446.0,1947,"3707 EL SERENO AVE, ALTADENA, CA 91001",34.206132,-118.1443135,1
13568,No Damage,7899.0,Saint Helena ,Road,Santa Rosa,95404,LNU,Sonoma,Santa Rosa ,2020-09-27 00:00:00,Engine Company Actions,Commercial Building Single Story,Nonresidential Commercial,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,21-30,Unknown,1141635.0,1991,7899 SAINT HELENA RD SANTA ROSA CA 95404,38.5296809164201,-122.602179250398,1
39830,Destroyed (>50%),460.0,Stacy ,Lane,Paradise,95969,BTU,Butte,Paradise ,2018-11-08 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Single Pane,Wood,No Deck/Porch,Combustible,Non Combustible,Unknown,Unknown,78204.0,1973,450  STACY LN   PARADISE CA 95969,39.7368270754593,-121.634364850312,1
21927,Destroyed (>50%),124.0,Aspen,Lane,Boulder Creek,95006,CZU,Santa Cruz,Unknown,2020-08-16 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unknown,"Mesh Screen > 1/8""""",Wood,Unknown,Unknown,Wood,No Patio Cover/Carport,No Fence,21-30,Unknown,207920.0,1989,124 ASPEN LN BOULDER CREEK CA 95006,37.1374907287249,-122.150862892032,1
76541,No Damage,11600.0,Chalk Hill,Road,Unincorporated,95448,LNU,Sonoma,Healdsburg,2019-10-23 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,198311.0,1972,11600 CHALK HILL RD HEALDSBURG CA 95448,38.586511423184,-122.747535277314,1
77955,No Damage,13721.0,Tennant,Road,Macdoel,Unknown,SKU,Siskiyou,Unknown,2021-08-01 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,Unknown,Unknown,,1961,Unknown,41.5853101890544,-121.912505826159,0
125377,Destroyed (>50%),15777.0,Bowdoin,Street,Pacific Palisades,90272,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,School,Nonresidential Commercial,Unknown,Asphalt,Unenclosed,No Vents,Wood,Multi Pane,No Deck/Porch,No Deck/Porch,Non Combustible,No Fence,Unknown,Unknown,,1961,"15777 BOWDOIN ST, PACIFIC PALISADES, CA 90272",34.048291,-118.5312483,0
42301,Destroyed (>50%),12799.0,Center Gap,Road,Unincorporated,95926,BTU,Butte,Chico,2018-11-08 00:00:00,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Asphalt,No Eaves,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,Unknown,Unknown,122343.0,1992,12799  CENTER GAP RD   CHICO CA 95926,39.7770445445179,-121.67664268833,1
127635,Destroyed (>50%),1218.0,Chautauqua ,Boulevard,Pacific Palisades,90272,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,43330.0,1941,"1218 CHAUTAUQUA BLVD, PACIFIC PALISADES, CA 90272",34.0522397,-118.5181608,1
8455,No Damage,31315.0,Tera Tera Ranch ,Road,North Fork,93643,MMU,Madera,Unknown,2020-09-04 00:00:00,Unknown,Mobile Home Double Wide,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,164206.0,1987,31315 TERA TERA RANCH RD NORTH FORK CA 93643,37.2030273168716,-119.459678983759,1
98442,No Damage,5701.0,Acorn,Drive,Wrightwood,92397,BDU,San Bernardino,Unknown,2024-09-08 00:00:00,Unknown,Infrastructure,Infrastructure,0.0,Metal,Unenclosed,No Vents,Metal,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,1739701.0,1952,"5575 ACORN DR, WRIGHTWOOD, CA 92397",34.3517406,-117.6432581,1
50534,Destroyed (>50%),2244.0,Rice Fork,Road,Unincorporated,Unknown,LNU,Lake,Potter Valley,2018-07-27 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Tile,Unknown,Unknown,Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,Unknown,No Fence,Unknown,Unknown,,1961,Unknown,39.3967874962259,-122.950022710012,0
8393,No Damage,0.0,Camp Sierra,Road,Shaver Lake,93664,FKU,Fresno,Unknown,2020-09-04 00:00:00,Unknown,Commercial Building Single Story,Nonresidential Commercial,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1961, SHAVER LAKE CA 93664,37.1926605915915,-119.259115507041,0
97015,No Damage,9841.0,Cohasset ,Road,Cohasset,95973,BTU,Butte,Unknown,2024-07-24 00:00:00,Combination of Actions,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,11-20,Unknown,113618.0,1981,"9841 COHASSET RD, COHASSET, CA 95973",39.9231481,-121.7347223,1
12031,No Damage,6683.0,Highway 12,Unknown,Santa Rosa,95409,LNU,Sonoma,Santa Rosa ,2020-09-27 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Wood,Wood,Combustible,Combustible,Unknown,Unknown,1805084.0,1954,6687 HWY 12 SANTA ROSA CA 95409,38.4475862388764,-122.604892176929,1
103447,No Damage,500.0,Ventura,Street,Altadena,91001,LAC,Los Angeles,Altadena,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,Single Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Combustible,Unknown,30-50',35793.0,1953,"500 VENTURA ST, ALTADENA, CA 91001",34.1912423,-118.1600888,1
114692,Destroyed (>50%),100.0,E Pine,Street,Altadena,91001,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,30364.0,1947,"100 E PINE ST, ALTADENA, CA 91001",34.1947613,-118.1449724,1
41755,Destroyed (>50%),41.0,Tobin,Court,Unincorporated,95965,BTU,Butte,Oroville,2018-11-08 00:00:00,Unknown,Mobile Home Single Wide,Single Residence,Unknown,Metal,Unenclosed,"Mesh Screen <= 1/8""""",Combustible,Multi Pane,Wood,No Deck/Porch,Combustible,Non Combustible,Unknown,30-50',31685.0,1961,41  TOBIN CT   CONCOW CA 95965,39.7194997644223,-121.48695262822,0
