OBJECTID,Damage,City,Zip_Code,CAL_FIRE_Unit,County,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure,Assessed_Improved_Value,Year_Built,Latitude,Longitude,Zip_Code_Prefix,Year_Built_Known,Incident_Start_Year,Incident_Start_Month,Incident_Start_Month_Name,Incident_Start_Weekday,Assessed_Improved_Value_Known
110616,No Damage,Pasadena,91107,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Tile,Enclosed,No Vents,Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Unknown,Unknown,<=30,203071.0,1930,34.1641323,-118.0945582,911,1,2025,1,January,Tuesday,1
5682,No Damage,Unknown,Unknown,TUU,Tulare,2020-08-19,Unknown,Single Family Residence Single Story,Single Residence,0.0,Metal,Unenclosed,Unknown,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,19890.0,1961,36.2063712086676,-118.73233145528,Unknown,0,2020,8,August,Wednesday,1
338,Destroyed (>50%),Caliente,Unknown,KRN,Kern,2020-08-03,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Wood,Single Pane,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1961,35.4394710105426,-118.426346848656,Unknown,0,2020,8,August,Monday,1
101747,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,75612.0,1958,34.2065716,-118.1352179,910,1,2025,1,January,Tuesday,1
4540,No Damage,Quincy,95971,LMU,Plumas,2020-09-09,Unknown,Single Family Residence Single Story,Single Residence,0.0,Metal,Unenclosed,No Vents,Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,0-10,Unknown,15064.0,1936,39.8812855594827,-120.86790346523,959,1,2020,9,September,Wednesday,1
55180,No Damage,Paradise,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,213303.0,1992,39.7895812124275,-121.594578741263,959,1,2018,11,November,Thursday,1
124323,Destroyed (>50%),Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Tile,No Eaves,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Unknown,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,0.0,2008,34.0406961,-118.5229946,902,1,2025,1,January,Tuesday,1
2205,No Damage,Berry Creek,95916,BTU,Butte,2020-09-09,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,238517.0,2010,39.6247817088479,-121.456297828457,959,1,2020,9,September,Wednesday,1
103378,No Damage,Pasadena,91107,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,Combustible,Unknown,Unknown,108296.0,1958,34.174072,-118.0706106,911,1,2025,1,January,Tuesday,1
116263,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,139783.0,1958,34.1979881,-118.1383406,910,1,2025,1,January,Tuesday,1
88388,No Damage,Redding,96003,SHU,Shasta,2021-09-22,Unknown,Multi Family Residence Multi Story,Multiple Residence,2.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,Wood,Combustible,No Fence,Unknown,Unknown,183758.0,1961,40.675881889375,-122.314066775472,960,0,2021,9,September,Wednesday,1
17934,No Damage,Vacaville,95688,LNU,Solano,2020-08-16,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,581000.0,1989,38.4465873759255,-122.012529873346,956,1,2020,8,August,Sunday,1
27215,No Damage,Unknown,Unknown,ORC,Orange,2020-10-26,Unknown,Infrastructure,Infrastructure,Unknown,Concrete,No Eaves,No Vents,Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,Unknown,Unknown,0.0,1961,33.9135545488335,-117.825067068062,Unknown,0,2020,10,October,Monday,0
102145,Destroyed (>50%),Pasadena,91107,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,Combustible,Combustible,Unknown,Unknown,122563.0,1955,34.1715373,-118.0755101,911,1,2025,1,January,Tuesday,1
128626,Destroyed (>50%),Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,Unknown,Combustible,No Fence,Unknown,Unknown,305877.0,1950,34.0456513,-118.5154771,902,1,2025,1,January,Tuesday,1
74699,No Damage,Calimesa,92320,RRU,Riverside,2019-10-10,Unknown,Mobile Home Double Wide,Single Residence,0.0,Metal,No Eaves,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,Non Combustible,Combustible,Unknown,<=30,8812.0,1963,33.9966133757148,-117.065183673005,923,1,2019,10,October,Thursday,1
12806,No Damage,Calistoga,94515,LNU,Napa,2020-09-27,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,55936.0,1965,38.5560287765027,-122.505290837389,945,1,2020,9,September,Sunday,1
28968,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unenclosed,Unscreened,Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,150830.0,1974,39.7628903067937,-121.609949338881,959,1,2018,11,November,Thursday,1
118827,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unknown,No Vents,Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,62446.0,1947,34.206132,-118.1443135,910,1,2025,1,January,Tuesday,1
13568,No Damage,Santa Rosa,95404,LNU,Sonoma,2020-09-27,Engine Company Actions,Commercial Building Single Story,Nonresidential Commercial,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,21-30,Unknown,0.0,1991,38.5296809164201,-122.602179250398,954,1,2020,9,September,Sunday,1
39830,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Single Pane,Wood,No Deck/Porch,Combustible,Non Combustible,Unknown,Unknown,78204.0,1973,39.7368270754593,-121.634364850312,959,1,2018,11,November,Thursday,1
21927,Destroyed (>50%),Boulder Creek,95006,CZU,Santa Cruz,2020-08-16,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unknown,"Mesh Screen > 1/8""""",Wood,Unknown,Unknown,Wood,No Patio Cover/Carport,No Fence,21-30,Unknown,207920.0,1989,37.1374907287249,-122.150862892032,950,1,2020,8,August,Sunday,1
76541,No Damage,Unincorporated,95448,LNU,Sonoma,2019-10-23,Unknown,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,198311.0,1972,38.586511423184,-122.747535277314,954,1,2019,10,October,Wednesday,1
77955,No Damage,Macdoel,Unknown,SKU,Siskiyou,2021-08-01,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,Unknown,Unknown,0.0,1961,41.5853101890544,-121.912505826159,Unknown,0,2021,8,August,Sunday,0
125377,Destroyed (>50%),Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,School,Nonresidential Commercial,Unknown,Asphalt,Unenclosed,No Vents,Wood,Multi Pane,No Deck/Porch,No Deck/Porch,Non Combustible,No Fence,Unknown,Unknown,0.0,1961,34.048291,-118.5312483,902,0,2025,1,January,Tuesday,0
42301,Destroyed (>50%),Unincorporated,95926,BTU,Butte,2018-11-08,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Asphalt,No Eaves,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,No Fence,Unknown,Unknown,122343.0,1992,39.7770445445179,-121.67664268833,959,1,2018,11,November,Thursday,1
127635,Destroyed (>50%),Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,43330.0,1941,34.0522397,-118.5181608,902,1,2025,1,January,Tuesday,1
8455,No Damage,North Fork,93643,MMU,Madera,2020-09-04,Unknown,Mobile Home Double Wide,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,164206.0,1987,37.2030273168716,-119.459678983759,936,1,2020,9,September,Friday,1
98442,No Damage,Wrightwood,92397,BDU,San Bernardino,2024-09-08,Unknown,Infrastructure,Infrastructure,0.0,Metal,Unenclosed,No Vents,Metal,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,0.0,1952,34.3517406,-117.6432581,923,1,2024,9,September,Sunday,1
50534,Destroyed (>50%),Unincorporated,Unknown,LNU,Lake,2018-07-27,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Tile,Unknown,Unknown,Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,Unknown,No Fence,Unknown,Unknown,0.0,1961,39.3967874962259,-122.950022710012,Unknown,0,2018,7,July,Friday,0
8393,No Damage,Shaver Lake,93664,FKU,Fresno,2020-09-04,Unknown,Commercial Building Single Story,Nonresidential Commercial,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1961,37.1926605915915,-119.259115507041,936,0,2020,9,September,Friday,1
97015,No Damage,Cohasset,95973,BTU,Butte,2024-07-24,Combination of Actions,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,11-20,Unknown,113618.0,1981,39.9231481,-121.7347223,959,1,2024,7,July,Wednesday,1
12031,No Damage,Santa Rosa,95409,LNU,Sonoma,2020-09-27,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Wood,Wood,Combustible,Combustible,Unknown,Unknown,0.0,1954,38.4475862388764,-122.604892176929,954,1,2020,9,September,Sunday,1
103447,No Damage,Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,Single Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,Combustible,Unknown,30-50,35793.0,1953,34.1912423,-118.1600888,910,1,2025,1,January,Tuesday,1
114692,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,30364.0,1947,34.1947613,-118.1449724,910,1,2025,1,January,Tuesday,1
41755,Destroyed (>50%),Unincorporated,95965,BTU,Butte,2018-11-08,Unknown,Mobile Home Single Wide,Single Residence,Unknown,Metal,Unenclosed,"Mesh Screen <= 1/8""""",Combustible,Multi Pane,Wood,No Deck/Porch,Combustible,Non Combustible,Unknown,30-50,31685.0,1961,39.7194997644223,-121.48695262822,959,0,2018,11,November,Thursday,1
28961,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unenclosed,No Vents,Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,60895.0,1948,39.7629747554898,-121.608810010097,959,1,2018,11,November,Thursday,1
40645,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Mobile Home Single Wide,Single Residence,Unknown,Metal,No Eaves,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,369691.0,1969,39.7489342722552,-121.594580487588,959,1,2018,11,November,Thursday,1
129698,Destroyed (>50%),Malibu,90265,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Multi Pane,Unknown,Wood,Unknown,Unknown,Unknown,Unknown,492139.0,1978,34.0390329,-118.5875503,902,1,2025,1,January,Tuesday,1
1674,Destroyed (>50%),Pearblossom,93553,LAC,Los Angeles,2020-09-06,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unknown,Unknown,Stucco Brick Cement,Single Pane,Unknown,Unknown,Combustible,No Fence,Unknown,Unknown,110926.0,1947,34.4295447036344,-117.901320287867,935,1,2020,9,September,Sunday,1
22283,Destroyed (>50%),Santa Cruz,95060,CZU,Santa Cruz,2020-08-16,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,Unknown,Wood,Unknown,Unknown,>30,Unknown,423785.0,1978,37.0665791539932,-122.147306952303,950,1,2020,8,August,Sunday,1
82058,No Damage,South Lake Tahoe,96150,AEU,El Dorado,2021-08-14,Engine Company Actions,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,>=50,67039.0,1961,38.8368511415559,-120.019615829102,961,0,2021,8,August,Saturday,1
121599,Destroyed (>50%),Malibu,90265,LAC,Los Angeles,2025-01-07,Unknown,Multi Family Residence Multi Story,Multiple Residence,2.0,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Wood,Combustible,No Fence,Unknown,Unknown,234164.0,1948,34.0368597,-118.611576,902,1,2025,1,January,Tuesday,1
102058,No Damage,Pasadena,91107,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,Masonry/Concrete,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,291312.0,1959,34.1744758,-118.0692393,911,1,2025,1,January,Tuesday,1
78475,Destroyed (>50%),Wofford Heights,93285,KRN,Kern,2021-08-18,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Wood,Multi Pane,Unknown,Unknown,No Patio Cover/Carport,No Fence,Unknown,Unknown,66183.0,1961,35.675494385204,-118.498242332034,932,0,2021,8,August,Wednesday,1
84823,Destroyed (>50%),Canyon Dam,95923,LMU,Plumas,2021-07-13,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,11482.0,1961,40.1724899954454,-121.074305153167,959,0,2021,7,July,Tuesday,1
120250,No Damage,Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Engine Company Actions,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,0.0,1965,34.0478058,-118.5654764,902,1,2025,1,January,Tuesday,1
101550,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,135750.0,1922,34.1940971,-118.1567148,910,1,2025,1,January,Tuesday,1
27104,No Damage,Irvine,92618,ORC,Orange,2020-10-26,Unknown,Multi Family Residence Multi Story,Multiple Residence,7.0,Tile,Enclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,No Patio Cover/Carport,No Fence,Unknown,Unknown,196568.0,2009,33.7009670064963,-117.732660332937,926,1,2020,10,October,Monday,1
40962,Destroyed (>50%),Unincorporated,95926,BTU,Butte,2018-11-08,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Tile,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,Unknown,Unknown,87997.0,1978,39.7431009495032,-121.688174667958,959,1,2018,11,November,Thursday,1
119441,No Damage,Pasadena,91107,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Enclosed,No Vents,Stucco Brick Cement,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,44605.0,1927,34.1654925,-118.0945908,911,1,2025,1,January,Tuesday,1
31491,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unknown,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,130000.0,1970,39.7611909142,-121.581261375279,959,1,2018,11,November,Thursday,1
36312,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Asphalt,Enclosed,No Vents,Combustible,Multi Pane,Masonry/Concrete,Wood,Combustible,No Fence,Unknown,Unknown,531930.0,1961,39.7448568613101,-121.587519647708,959,0,2018,11,November,Thursday,1
19147,Destroyed (>50%),Vacaville,95688,LNU,Solano,2020-08-16,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,128545.0,1961,38.4648650882918,-122.049511736726,956,0,2020,8,August,Sunday,1
96664,No Damage,Chico,95973,BTU,Butte,2024-07-24,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Metal,Unenclosed,"Mesh Screen <= 1/8""""",Wood,Multi Pane,Wood,Wood,Combustible,No Fence,Unknown,Unknown,353619.0,1986,39.9413427,-121.7278048,959,1,2024,7,July,Wednesday,1
86523,No Damage,Greenville,95947,LMU,Plumas,2021-07-13,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,98886.0,1961,40.0965285661111,-120.825474646464,959,0,2021,7,July,Tuesday,1
105666,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,Masonry/Concrete,Unknown,Combustible,Unknown,Unknown,Unknown,188088.0,1947,34.2013354,-118.1549356,910,1,2025,1,January,Tuesday,1
38910,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,Unknown,Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,69014.0,1958,39.7425362921228,-121.607110932078,959,1,2018,11,November,Thursday,1
10558,Destroyed (>50%),Saint Helena,94574,LNU,Napa,2020-09-27,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Metal,Unknown,"Mesh Screen <= 1/8""""",Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,187181.0,1971,38.5399712342876,-122.471493014805,945,1,2020,9,September,Sunday,1
114182,No Damage,Pasadena,91104,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,286110.0,1927,34.1700169,-118.1001615,911,1,2025,1,January,Tuesday,1
85381,No Damage,Unknown,Unknown,LMU,Plumas,2021-07-13,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,0.0,1961,40.0178252537258,-121.074220024319,Unknown,0,2021,7,July,Tuesday,0
13939,No Damage,Saint Helena,94574,LNU,Napa,2020-09-27,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Metal,Enclosed,No Vents,Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,21-30,>=50,0.0,1890,38.5529180486492,-122.488326122705,945,1,2020,9,September,Sunday,1
75769,No Damage,Windsor,95492,LNU,Sonoma,2019-10-23,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,653310.0,1989,38.5580229903756,-122.789009226459,954,1,2019,10,October,Wednesday,1
23239,Destroyed (>50%),Santa Cruz,95060,CZU,Santa Cruz,2020-08-16,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,0-10,Unknown,0.0,1951,37.0616774470567,-122.152761703269,950,1,2020,8,August,Sunday,1
55202,No Damage,Unincorporated,95954,BTU,Butte,2018-11-08,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,163716.0,2006,39.8154351540167,-121.618931213419,959,1,2018,11,November,Thursday,1
3640,Destroyed (>50%),Oroville,95966,BTU,Butte,2020-09-09,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Combustible,No Fence,0-10,Unknown,132651.0,1961,39.5615854668005,-121.424137149545,959,0,2020,9,September,Wednesday,1
8264,No Damage,Shaver Lake,93664,FKU,Fresno,2020-09-04,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,Unenclosed,Unscreened,Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,Unknown,Unknown,Unknown,0.0,1961,37.1279111888715,-119.315982451499,936,0,2020,9,September,Friday,1
41636,Destroyed (>50%),Magalia,95954,BTU,Butte,2018-11-08,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Unknown,No Deck/Porch,Wood,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,15842.0,1974,39.8116462133919,-121.593336710788,959,1,2018,11,November,Thursday,1
16810,No Damage,Napa,94558,LNU,Napa,2020-08-16,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,244800.0,1974,38.5150315341487,-122.194542769342,945,1,2020,8,August,Sunday,1
81886,No Damage,South Lake Tahoe,96150,AEU,El Dorado,2021-08-14,Unknown,Multi Family Residence Multi Story,Multiple Residence,2.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Wood,Wood,Combustible,Combustible,Unknown,Unknown,318362.0,1961,38.8457779974152,-120.019415776984,961,0,2021,8,August,Saturday,1
14354,No Damage,Santa Rosa,95404,LNU,Sonoma,2020-09-27,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,Wood,Combustible,No Fence,Unknown,Unknown,368451.0,1961,38.5313658998721,-122.664628961141,954,0,2020,9,September,Sunday,1
11428,Destroyed (>50%),Santa Rosa,95409,LNU,Sonoma,2020-09-27,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,0-10,Unknown,98817.0,1946,38.4529525689474,-122.612477472137,954,1,2020,9,September,Sunday,1
37668,Destroyed (>50%),Magalia,95954,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Combustible,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,Non Combustible,11-20,Unknown,137277.0,1979,39.8183866170979,-121.606572926562,959,1,2018,11,November,Thursday,1
29813,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,Wood,Combustible,Non Combustible,Unknown,>=50,107618.0,1983,39.7744035978592,-121.576167738972,959,1,2018,11,November,Thursday,1
115146,No Damage,Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Tile,Enclosed,"Mesh Screen > 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Combustible,Non Combustible,Unknown,>=50,366915.0,1961,34.1978253,-118.1414067,910,0,2025,1,January,Tuesday,1
