OBJECTID,Damage,City,Zip_Code,CAL_FIRE_Unit,County,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure,Assessed_Improved_Value,Year_Built,Latitude,Longitude,Zip_Code_Prefix,Year_Built_Known,Incident_Start_Year,Incident_Start_Month,Incident_Start_Month_Name,Incident_Start_Weekday,Assessed_Improved_Value_Known
80368,No Damage,Twin Bridges,95735,AEU,El Dorado,2021-08-14,Unknown,Single Family Residence Single Story,Single Residence,0.0,Metal,Unenclosed,No Vents,Wood,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,Combustible,Unknown,Unknown,58891.0,1961,38.7870949936073,-120.155457140379,957,0,2021,8,August,Saturday,1
82008,No Damage,South Lake Tahoe,96150,AEU,El Dorado,2021-08-14,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,130952.0,1961,38.8437469833462,-120.020719937638,961,0,2021,8,August,Saturday,1
91162,Destroyed (>50%),Dulzura,91917,MVU,San Diego,2022-08-31,Unknown,Motor Home,Single Residence,Unknown,Unknown,No Eaves,No Vents,Unknown,Unknown,Unknown,Unknown,Unknown,No Fence,Unknown,Unknown,0.0,1961,32.59425401,-116.66639812,919,0,2022,8,August,Wednesday,1
117976,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Stucco Brick Cement,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,223874.0,1948,34.2032778,-118.1437727,910,1,2025,1,January,Tuesday,1
88682,No Damage,California Hot Springs,93207,TUU,Tulare,2021-09-10,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Masonry/Concrete,Wood,No Patio Cover/Carport,No Fence,Unknown,Unknown,146167.0,1961,35.8720834179692,-118.629439652431,932,0,2021,9,September,Friday,1
119347,No Damage,Pasadena,91104,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unenclosed,No Vents,Stucco Brick Cement,No Windows,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,164045.0,1940,34.1762504,-118.1346732,911,1,2025,1,January,Tuesday,1
125005,Destroyed (>50%),Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Tile,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Composite,Combustible,Unknown,Unknown,<=30,0.0,2004,34.0445621,-118.5471978,902,1,2025,1,January,Tuesday,1
17026,No Damage,Vacaville,95688,LNU,Solano,2020-08-16,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,254773.0,1982,38.39102654891,-122.01865639616,956,1,2020,8,August,Sunday,1
105836,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,92277.0,1924,34.1945291,-118.1489885,910,1,2025,1,January,Tuesday,1
103500,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Tile,Unknown,Unknown,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Unknown,Unknown,Non Combustible,Unknown,Unknown,157098.0,1927,34.1902327,-118.1536381,910,1,2025,1,January,Tuesday,1
110695,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Unknown,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,178500.0,1948,34.1934406,-118.1485929,910,1,2025,1,January,Tuesday,1
88747,No Damage,Posey,93260,TUU,Tulare,2021-09-10,Other,Utility Misc Structure,Other Minor Structure,0.0,Wood,Unenclosed,No Vents,Wood,Single Pane,Masonry/Concrete,Wood,Combustible,No Fence,Unknown,Unknown,3822.0,1961,35.8344116936874,-118.614693208764,932,0,2021,9,September,Friday,1
120622,No Damage,Malibu,90265,LAC,Los Angeles,2025-01-07,Unknown,Multi Family Residence Multi Story,Multiple Residence,3.0,Asphalt,Unenclosed,Unscreened,Stucco Brick Cement,Single Pane,Masonry/Concrete,Masonry/Concrete,Combustible,Combustible,Unknown,<=30,139056.0,1955,34.0394543,-118.6580107,902,1,2025,1,January,Tuesday,1
124683,No Damage,Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,School,Nonresidential Commercial,Unknown,Metal,Enclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,Composite,No Patio Cover/Carport,No Fence,Unknown,Unknown,0.0,1961,34.0465022,-118.5473484,902,0,2025,1,January,Tuesday,0
90700,No Damage,Laguna Beach,92651,ORC,Orange,2022-02-10,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Tile,Enclosed,Unknown,Stucco Brick Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,Non Combustible,Unknown,Unknown,0.0,1999,33.55621563,-117.80605943,926,1,2022,2,February,Thursday,1
52444,Destroyed (>50%),Unincorporated,96033,SHU,Shasta,2018-07-23,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Metal,Unknown,"Mesh Screen <= 1/8""""",Ignition Resistant,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,>30,>=50,99825.0,1947,40.7608170819861,-122.602978806697,960,1,2018,7,July,Monday,1
116207,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unknown,"Mesh Screen > 1/8""""",Stucco Brick Cement,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,33196.0,1925,34.2007241,-118.1383405,910,1,2025,1,January,Tuesday,1
42764,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unenclosed,Unscreened,Combustible,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,<=30,71879.0,1960,39.7709415330127,-121.623014166878,959,1,2018,11,November,Thursday,1
4619,Destroyed (>50%),Berry Creek,95916,BTU,Butte,2020-09-09,Unknown,Mobile Home Double Wide,Single Residence,0.0,Asphalt,Unknown,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,115671.0,1999,39.6821725513775,-121.370463451818,959,1,2020,9,September,Wednesday,1
92143,Destroyed (>50%),Foresthill,95631,NEU,Placer,2022-09-06,Unknown,Single Family Residence Single Story,Single Residence,0.0,Metal,Unknown,Unknown,Wood,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,51036.0,1974,39.04416533,-120.73618436,956,1,2022,9,September,Tuesday,1
116460,Destroyed (>50%),Altadena,91001,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Tile,Unknown,Unknown,Stucco Brick Cement,Unknown,Masonry/Concrete,Unknown,Unknown,Non Combustible,Unknown,Unknown,155650.0,1921,34.190087,-118.1241236,910,1,2025,1,January,Tuesday,1
11324,No Damage,Santa Rosa,95409,LNU,Sonoma,2020-09-27,Unknown,Commercial Building Single Story,Nonresidential Commercial,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,561751.0,1957,38.4561069295324,-122.627053207154,954,1,2020,9,September,Sunday,1
42698,Destroyed (>50%),Unincorporated,95926,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Wood,No Deck/Porch,Combustible,No Fence,Unknown,30-50,23279.0,1915,39.7152348506116,-121.723895553597,959,1,2018,11,November,Thursday,1
97985,No Damage,Wrightwood,92397,BDU,San Bernardino,2024-09-08,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,No Eaves,No Vents,Wood,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,Unknown,Unknown,38465.0,1963,34.3628063,-117.6482091,923,1,2024,9,September,Sunday,1
