OBJECTID,Damage,City,Zip_Code,CAL_FIRE_Unit,County,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure,Assessed_Improved_Value,Year_Built,Latitude,Longitude,Zip_Code_Prefix,Year_Built_Known,Incident_Start_Year,Incident_Start_Month,Incident_Start_Month_Name,Incident_Start_Weekday,Assessed_Improved_Value_Known,Damage_Binary
28697,Destroyed (>50%),Magalia,95954,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,"Mesh Screen <= 1/8""""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,0-10,<=30,164460.0,1979,39.8144207122771,-121.601653321773,959,1,2018,11,November,Thursday,1,1
121780,No Damage,Pacific Palisades,90272,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,No Eaves,"Mesh Screen > 1/8""""",Stucco Brick Cement,Single Pane,Masonry/Concrete,No Deck/Porch,Combustible,Non Combustible,Unknown,Unknown,240601.0,1961,34.0564705,-118.5433939,902,1,2025,1,January,Tuesday,1,0
31609,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Ignition Resistant,Multi Pane,Masonry/Concrete,Wood,Combustible,Non Combustible,Unknown,<=30,89781.0,2015,39.792066519815,-121.577878176189,959,1,2018,11,November,Thursday,1,1
86731,No Damage,Janesville,96114,LMU,Lassen,2021-07-13,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Metal,No Eaves,No Vents,Metal,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,133821.0,1961,40.2681014727951,-120.479111304113,961,0,2021,7,July,Tuesday,1,0
75468,No Damage,Healdsburg,95448,LNU,Sonoma,2019-10-23,Unknown,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,208942.0,1971,38.6112462322415,-122.847480969849,954,1,2019,10,October,Wednesday,1,0
21791,Destroyed (>50%),Davenport,95017,CZU,Santa Cruz,2020-08-16,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,No Deck/Porch,Wood,Unknown,No Fence,Unknown,Unknown,270608.0,1978,37.0563186939961,-122.212301892977,950,1,2020,8,August,Sunday,1,1
56457,No Damage,Unincorporated,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200000.0,1961,39.7401237576968,-121.660653447027,959,0,2018,11,November,Thursday,1,0
36228,Destroyed (>50%),Paradise,95969,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,Unknown,Unknown,135075.0,1972,39.7468342073899,-121.57140430899,959,1,2018,11,November,Thursday,1,1
3450,No Damage,Berry Creek,95916,BTU,Butte,2020-09-09,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,72134.0,1962,39.6476855649135,-121.402401097909,959,1,2020,9,September,Wednesday,1,0
1756,No Damage,Unknown,Unknown,LAC,Los Angeles,2020-09-06,Unknown,Single Family Residence Single Story,Single Residence,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,1961,34.2080894545235,-118.034268444515,Unknown,0,2020,9,September,Sunday,0,0
