OBJECTID,Damage,Street_Number,Street_Name,Street_Type,City,Zip_Code,CAL_FIRE_Unit,County,Community,Incident_Start_Date,Structure_Defense_Actions_Taken,Structure_Type,Structure_Category,Number_of_Units,Roof_Construction,Eaves,Vent_Screen,Exterior_Siding,Window_Pane,DeckPorch_On_Grade,DeckPorch_Elevated,Patio_CoverCarport_Attached_to_Structure,Fence_Attached_to_Structure,Distance_Propane_Tank_to_Structure,Distance_Residence_to_UtilityMisc_Structure_gt_120_SQFT,Assessed_Improved_Value,Year_Built,Site_Address,Latitude,Longitude
15040,No Damage,3000.0,Vaca Valley,Road,Unknown,Unknown,LNU,Solano,Unknown,2020-08-16 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,Unknown,Asphalt,Unenclosed,No Vents,Wood,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,No Fence,Unknown,Unknown,438806.0,1984.0,3000 VACA VALLEY RD VACAVILLE CA 95688,38.3795370817353,-122.024690124802
98403,Destroyed (>50%),1.0,Trabuco Cabin,Unknown,Trabuco Canyon,92679,ORC,Orange,Unknown,2024-09-09 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,Unknown,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,11-20,Unknown,505246.0,1931.0,"1 TRABUCO CABIN, TRABUCO CANYON, CA 92679",33.6795281,-117.5168312
67817,Destroyed (>50%),2005.0,Bluesage,Court,Santa Rosa,00000,LNU,Sonoma,Fountaingrove,2017-10-08 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Fire Resistant,Unknown,Screened,Combustible,Multi Pane,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,371086.0,,2005 BLUESAGE CT SANTA ROSA CA 95403,38.4913216471999,-122.705881944489
4609,Destroyed (>50%),0.0,Unknown ,Road,Unknown,00000,BTU,Butte,Unknown,2020-09-09 00:00:00,Unknown,Motor Home,Single Residence,0.0,Other,No Eaves,"Mesh Screen > 1/8""""",Other,Single Pane,No Deck/Porch,No Deck/Porch,Unknown,No Fence,0-10,Unknown,0.0,0.0,No Address Available,39.6110265315086,-121.345948719667
40551,Destroyed (>50%),162.0,Sutter,Road,Paradise Central Southwest B,Unknown,BTU,Butte,Paradise,2018-11-08 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,Non Combustible,21-30,30-50',210414.0,1981.0,162  SUTTER RD   PARADISE CA 95969,39.7348957350448,-121.648033886068
5302,No Damage,653.0,Loop,Drive,Unknown,00000,TUU,Tulare,Unknown,2020-08-19 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,Wood,Combustible,No Fence,Unknown,Unknown,93933.0,0.0,675 LOOP DR SPRINGVILLE CA 93265,36.1454255507052,-118.613478541871
103786,No Damage,221.0,Vista Circle ,Drive,Sierra Madre,91024,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,Wood,Combustible,Combustible,Unknown,Unknown,168544.0,1922.0,"221 VISTA CIRCLE DR, SIERRA MADRE, CA 91024",34.1718298,-118.041745
16173,No Damage,6004.0,Monticello ,Road,Unknown,Unknown,LNU,Napa,Unknown,2020-08-16 00:00:00,Unknown,Mobile Home Double Wide,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,987834.0,,6004 MONTICELLO RD NAPA CA 94558,38.4485762819114,-122.19678822787
41804,Destroyed (>50%),8396.0,Montna ,Drive,Paradise Northwest B,Unknown,BTU,Butte,Paradise ,2018-11-08 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Combustible,Multi Pane,No Deck/Porch,No Deck/Porch,Combustible,Non Combustible,Unknown,Unknown,130050.0,1970.0,8396  MONTNA DR   PARADISE CA 95969,39.7819043034658,-121.607143999961
3486,Destroyed (>50%),297.0,Rockerfeller ,Road,Unknown,00000,BTU,Butte,Unknown,2020-09-09 00:00:00,Unknown,Commercial Building Single Story,Nonresidential Commercial,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,11-20,Unknown,75711.0,1982.0,"297 ROCKERFELLER RD, BERRY CREEK CA 95916",39.624562896957,-121.372827800578
103267,Destroyed (>50%),136.0,E Harriet ,Street,Altadena,91001,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,Unknown,Stucco Brick Cement,Unknown,Unknown,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,33196.0,1946.0,"136 E HARRIET ST, ALTADENA, CA 91001",34.1892566,-118.1466385
131582,Destroyed (>50%),15340.0,De Pauw,Street,Pacific Palisades,90272,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Unknown,No Eaves,No Vents,Stucco Brick Cement,Unknown,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,30-50',123455.0,1922.0,"15340 DE PAUW ST, PACIFIC PALISADES, CA 90272",34.039642,-118.5275084
42271,Destroyed (>50%),2108.0,Honey Run,Road,Unincorporated,Unknown,BTU,Butte,Chico,2018-11-08 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Enclosed,"Mesh Screen > 1/8""""",Ignition Resistant,Multi Pane,Wood,No Deck/Porch,Combustible,Non Combustible,Unknown,Unknown,34619.0,1950.0,2108  HONEY RUN RD   CHICO CA 95926,39.7350215666585,-121.686813211856
124314,No Damage,16822.0,Via La coasta,Unknown,Pacific Palisades,90272,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Tile,Unenclosed,"Mesh Screen <= 1/8""""",Stucco Brick Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,Non Combustible,Non Combustible,Unknown,Unknown,656187.0,2001.0,"16822 VIA LA COSTA, PACIFIC PALISADES, CA 90272",34.0782851,-118.5485308
100185,No Damage,760.0,Mission,Drive,Camarillo,93010,VNC,Ventura,Camarillo,2024-11-06 00:00:00,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,<30',432612.0,1998.0,"760 MISSION DR, CAMARILLO, CA 93010",34.2454401,-119.0483014
34403,Destroyed (>50%),1794.0,El Torro,Court,Paradise Northeast A,Unknown,BTU,Butte,Paradise,2018-11-08 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,Unknown,Unknown,150285.0,1985.0,1794  EL TORO CT   PARADISE CA 95969,39.7853545048182,-121.576940653036
117683,Destroyed (>50%),169.0,W Loma Alta,Drive,Altadena,91001,LAC,Los Angeles,Unknown,2025-01-07 08:02:01,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Asphalt,Unknown,"Mesh Screen > 1/8""""",Unknown,Unknown,Unknown,Unknown,Unknown,Combustible,Unknown,Unknown,188346.0,1953.0,"169 W LOMA ALTA DR, ALTADENA, CA 91001",34.2030158,-118.1469941
100452,Destroyed (>50%),5612.0,Donlon ,Road,Somis,93066,VNC,Ventura,Unknown,2024-11-06 00:00:00,Unknown,Mobile Home Single Wide,Single Residence,0.0,Metal,Unknown,Unknown,Metal,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,21-30,Unknown,79207.0,0.0,"5612 DONLON RD, SOMIS, CA 93066",34.2856377,-118.988927
16787,No Damage,1130.0,Rimrock,Drive,Unknown,Unknown,LNU,Napa,Napa,2020-08-16 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,290700.0,1992.0,1130 RIMROCK DR NAPA CA 94558,38.5079379547612,-122.189187195976
67670,Destroyed (>50%),5472.0,Dana,Drive,Unincorporated,00000,LNU,Sonoma,Riebli,2017-10-08 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Fire Resistant,Unknown,Unknown,Fire Resistant,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,276966.0,,5472 DANA DR SANTA ROSA CA 95404,38.518382441114,-122.71097828203
42690,Destroyed (>50%),4908.0,Media,Way,Unincorporated,Unknown,BTU,Butte,Paradise,2018-11-08 00:00:00,Unknown,Single Family Residence Single Story,Single Residence,Unknown,Metal,Unknown,Unknown,Combustible,Multi Pane,Wood,Wood,Combustible,No Fence,0-10,Unknown,275000.0,1992.0,4908  MEDIA WAY   PARADISE CA 95969,39.729159990897,-121.677383406774
16657,No Damage,3444.0,Laguna Creek ,Trail,Unknown,Unknown,LNU,Solano,Unknown,2020-08-16 00:00:00,Unknown,Single Family Residence Multi Story,Single Residence,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,150137.0,1977.0,3444 LAGUNA CREEK TRL VACAVILLE CA 95688,38.3330248769038,-122.044446736913
